Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2014,1,1,00:00,UTC,8,1014.9,82,0,-1,5.3,2.5,40000,220,7.5,4.5
2014,1,1,01:00,UTC,7,1015.1,86,0,-1,4.8,2.6,34160,230,10.3,4.9
2014,1,1,02:00,UTC,7,1015.2,87,0,-1,4.6,2.7,36560,226,9.2,4.5
2014,1,1,03:00,UTC,8,1015.5,88,0,-1,4.4,2.6,36590,230,10.1,4.2
2014,1,1,04:00,UTC,7,1015.5,88,0,-1,4.3,2.5,35750,222,6.5,3.4
2014,1,1,05:00,UTC,8,1015.6,90,0,-1,4.2,2.6,34080,230,6.8,3.4
2014,1,1,06:00,UTC,8,1015.9,88,0,-1,4.2,2.5,42720,233,6,3
2014,1,1,07:00,UTC,8,1016.3,87,0,-1,4.2,2.3,37730,245,5.3,2.8
2014,1,1,08:00,UTC,8,1016.6,89,0,-1,4.2,2.5,35160,194,3.4,2
2014,1,1,09:00,UTC,8,1016.9,89,0,-1,4.4,2.7,35210,201,3.5,1.9
2014,1,1,10:00,UTC,8,1017.1,83,0,-1,4.4,1.7,29130,216,6.5,3.5
2014,1,1,11:00,UTC,8,1017.2,83,0,-1,4.2,1.6,22180,210,4.2,2.2
2014,1,1,12:00,UTC,8,1017.5,82,0,-1,4,1.1,35910,187,5.8,3.3
2014,1,1,13:00,UTC,8,1017.4,81,0,-1,3.7,0.7,35380,189,8.8,4
2014,1,1,14:00,UTC,8,1017.3,80,0,-1,3.6,0.5,49340,184,6.5,3.2
2014,1,1,15:00,UTC,8,1017.3,78,0,-1,3.6,0.2,49970,176,5,2.6
2014,1,1,16:00,UTC,8,1017.3,78,0,-1,3.5,0.1,48750,163,4.9,2.8
2014,1,1,17:00,UTC,8,1017.3,76,0,-1,3.6,-0.1,41110,181,6.6,3.2
2014,1,1,18:00,UTC,7,1017.3,85,0,-1,3,0.8,26250,141,5.8,3.4
2014,1,1,19:00,UTC,7,1017.3,88,0,-1,2.8,1,19020,139,5.9,3.7
2014,1,1,20:00,UTC,7,1017.2,87,0,-1,3,1,21960,148,6.3,3.7
2014,1,1,21:00,UTC,8,1017.3,89,0,-1,2.5,0.8,19630,144,6,4.1
2014,1,1,22:00,UTC,8,1017.4,95,0,-1,1.8,1,7550,143,6.7,3.7
2014,1,1,23:00,UTC,8,1017.3,96,0,-1,1.6,0.9,7900,139,7.7,4.6
2014,1,2,00:00,UTC,8,1017.1,95,0,-1,1.6,0.9,16960,139,6.5,3.8
2014,1,2,01:00,UTC,8,1016.8,95,0,-1,1.8,1.1,16420,137,5.3,3.4
2014,1,2,02:00,UTC,8,1016.5,96,0,-1,1.6,1,10270,126,4.9,3.3
2014,1,2,03:00,UTC,8,1016.2,99,0,-1,2,1.8,3880,137,7.5,5
2014,1,2,04:00,UTC,8,1015.9,99,0.2,-1,1.9,1.8,3160,129,5.5,3.8
2014,1,2,05:00,UTC,8,1016.1,99,0,-1,2.3,2.2,6800,140,8.9,5
2014,1,2,06:00,UTC,8,1016,92,0,-1,2.5,1.4,12670,151,7.8,4.9
2014,1,2,07:00,UTC,8,1016.2,92,0,-1,2.2,1.1,12060,139,8.5,5.1
2014,1,2,08:00,UTC,8,1016.1,93,0,-1,1.9,0.9,12040,137,7.5,4.3
2014,1,2,09:00,UTC,8,1016.1,93,0,-1,1.9,0.8,11320,134,6.8,3.9
2014,1,2,10:00,UTC,8,1015.9,91,0,-1,2.1,0.7,17570,134,7.1,4.5
2014,1,2,11:00,UTC,8,1015.8,89,0,-1,2.3,0.6,20350,144,8.9,4.8
2014,1,2,12:00,UTC,8,1015.6,85,0,-1,2.4,0.2,33440,138,9.3,6
2014,1,2,13:00,UTC,8,1015.5,86,0,-1,2.2,0.2,33330,138,9.5,4.9
2014,1,2,14:00,UTC,8,1015.5,87,0,-1,2,0,32330,140,8.4,5.6
2014,1,2,15:00,UTC,8,1015.3,88,0,-1,1.9,0.2,28150,131,7.8,5
2014,1,2,16:00,UTC,8,1015.1,90,0,-1,1.8,0.3,26410,131,7.3,4.5
2014,1,2,17:00,UTC,8,1014.9,94,0,-1,1.6,0.7,11310,138,10.3,5.8
2014,1,2,18:00,UTC,8,1014.9,96,0.2,-1,1.4,0.9,5390,135,8.4,5.1
2014,1,2,19:00,UTC,8,1014.9,97,0,-1,1.4,0.9,11420,135,6.9,4.5
2014,1,2,20:00,UTC,8,1014.7,97,0,-1,1.4,0.9,12390,126,7.6,4.2
2014,1,2,21:00,UTC,8,1014.7,97,0,-1,1.4,1,10050,126,6.3,4
2014,1,2,22:00,UTC,8,1014.9,98,0,-1,1.5,1.2,5600,131,6.6,4.2
2014,1,2,23:00,UTC,8,1014.7,99,0,-1,1.5,1.4,4620,126,5.4,3.3
2014,1,3,00:00,UTC,8,1014.5,99,0,-1,1.7,1.6,13200,132,6.3,3.9
2014,1,3,01:00,UTC,8,1014.3,99,0,-1,1.7,1.6,9200,121,5.1,2.9
2014,1,3,02:00,UTC,8,1014.1,98,0,-1,2,1.7,10660,132,7,4.1
2014,1,3,03:00,UTC,8,1013.8,96,0,-1,2.1,1.6,7620,136,8.5,5
2014,1,3,04:00,UTC,8,1013.5,99,0.2,-1,2.1,1.9,3740,138,7.2,4.6
2014,1,3,05:00,UTC,8,1013.4,99,0,-1,1.9,1.8,4100,135,8.1,4.2
2014,1,3,06:00,UTC,8,1013.3,99,0,-1,1.9,1.9,5670,139,8.2,4.9
2014,1,3,07:00,UTC,8,1013.1,98,0,-1,1.8,1.6,6410,136,8.8,5.3
2014,1,3,08:00,UTC,8,1013.2,99,0,-1,1.7,1.6,5250,133,9.4,5.4
2014,1,3,09:00,UTC,8,1013.1,99,0,-1,1.7,1.6,5030,127,6.2,4.2
2014,1,3,10:00,UTC,8,1012.9,99,0,-1,1.9,1.8,5900,134,6.1,3.7
2014,1,3,11:00,UTC,7,1012.6,96,0,-1,2.2,1.7,8680,125,6.3,3.6
2014,1,3,12:00,UTC,7,1012.4,95,0,-1,2.3,1.6,8400,132,5.4,3.4
2014,1,3,13:00,UTC,7,1012,94,0,-1,2.3,1.4,9840,124,5.4,3.4
2014,1,3,14:00,UTC,7,1011.8,91,0,-1,2.4,1.1,14760,135,6.5,4
2014,1,3,15:00,UTC,8,1011.3,91,0,-1,2.2,1,13260,135,8.2,5
2014,1,3,16:00,UTC,7,1011,90,0,-1,2.2,0.8,15710,140,7.3,4
2014,1,3,17:00,UTC,8,1010.8,93,0,-1,2.1,1.1,12410,139,7.7,4.2
2014,1,3,18:00,UTC,8,1010.8,94,0,-1,2.1,1.3,9580,139,7.4,5
2014,1,3,19:00,UTC,8,1010.4,96,0,-1,2.2,1.6,6080,144,9.5,5.4
2014,1,3,20:00,UTC,8,1010.4,95,0,-1,2.3,1.6,8070,141,6.5,4.3
2014,1,3,21:00,UTC,8,1010.1,96,0,-1,2.3,1.8,7200,139,7,4.7
2014,1,3,22:00,UTC,8,1009.5,95,0,-1,2.5,1.8,6470,139,7.7,4.5
2014,1,3,23:00,UTC,8,1009.1,93,0,-1,2.7,1.7,5780,144,9,4.8
2014,1,4,00:00,UTC,8,1008.8,96,0,-1,2.5,1.9,4650,145,7.2,4.1
2014,1,4,01:00,UTC,8,1008.6,98,0.2,-1,2.4,2,3790,145,6.7,4.5
2014,1,4,02:00,UTC,8,1008.1,98,0.2,-1,2.6,2.3,6520,145,6.8,4.4
2014,1,4,03:00,UTC,8,1007.6,99,0,-1,2.6,2.4,4210,142,7.3,4.6
2014,1,4,04:00,UTC,8,1007.1,99,0,-1,2.8,2.7,4460,141,7.2,4
