Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2018,1,1,00:00,UTC,8,997.6,94,0,0,0.8,-0.1,10040,129,8.1,4.8
2018,1,1,01:00,UTC,8,997.2,98,1.2,0,0.1,-0.2,1020,121,5.9,3.6
2018,1,1,02:00,UTC,8,996.3,97,0.2,0,-0.1,-0.5,2300,111,6.8,4
2018,1,1,03:00,UTC,8,995.7,96,0,0,-0.1,-0.6,4270,115,6.1,3.7
2018,1,1,04:00,UTC,8,994.9,97,0.4,0,-0.1,-0.5,4710,116,7.3,3.4
2018,1,1,05:00,UTC,8,994.2,97,0,0,0.2,-0.2,12310,120,6.3,3.5
2018,1,1,06:00,UTC,8,993.7,96,0,0,0.4,-0.1,14120,116,5.5,3.5
2018,1,1,07:00,UTC,8,993.5,97,0,0,0.5,0,7300,113,5.5,2.9
2018,1,1,08:00,UTC,8,993.5,98,0,0,0.5,0.2,5900,116,5.2,3.3
2018,1,1,09:00,UTC,8,993.2,98,0,2,0.7,0.4,6080,113,4.8,2.9
2018,1,1,10:00,UTC,8,992.9,98,0,0,0.9,0.6,4890,119,4.8,2.9
2018,1,1,11:00,UTC,8,992.1,98,0,0,1.2,0.9,5750,105,5.4,3.4
2018,1,1,12:00,UTC,8,991.7,98,0,0,1.2,0.8,8460,115,5.5,3.4
2018,1,1,13:00,UTC,8,991.3,98,0,0,1.2,1,3440,120,5.3,2.9
2018,1,1,14:00,UTC,8,990.5,99,0,0,1.2,1,2720,117,5.8,3.8
2018,1,1,15:00,UTC,8,989.8,99,0,0,1.2,1,1840,113,5.7,3.7
2018,1,1,16:00,UTC,8,989,99,0.3,0,1.1,0.9,4260,103,6,3.5
2018,1,1,17:00,UTC,8,988.7,98,2.6,0,0.4,0.1,1720,95,4.5,2.7
2018,1,1,18:00,UTC,8,988.1,98,0,0,0.7,0.4,11860,100,5.4,3.7
2018,1,1,19:00,UTC,8,987.9,98,0,0,0.8,0.5,13290,107,4.8,2.8
2018,1,1,20:00,UTC,8,987.4,99,0,0,1.2,1,2420,102,4.4,2.6
2018,1,1,21:00,UTC,8,987.6,99,0,0,1.6,1.4,23430,118,3,1.8
