Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2016,1,1,00:00,UTC,7,1033.9,79,0,-1,-2.3,-5.4,40950,141,11.4,7.3
2016,1,1,01:00,UTC,7,1033.9,80,0,-1,-3.2,-6.2,50000,134,10.5,6.4
2016,1,1,02:00,UTC,7,1034.5,80,0,-1,-3.6,-6.6,50000,131,10.5,6.4
2016,1,1,03:00,UTC,7,1034.7,78,0,-1,-3.9,-7.2,50000,127,10.2,5.7
2016,1,1,04:00,UTC,7,1034.9,75,0,-1,-4.3,-8,50000,130,10.6,7
2016,1,1,05:00,UTC,7,1035.4,76,0,-1,-4.5,-8.1,50000,134,11.7,7.9
2016,1,1,06:00,UTC,7,1035.6,77,0,-1,-4.6,-8.1,50000,127,8.3,4.9
2016,1,1,07:00,UTC,8,1036.2,78,0,-1,-4.6,-7.8,50000,128,12,7.2
2016,1,1,08:00,UTC,8,1036.5,80,0,-1,-4.4,-7.3,50000,130,9.8,5.4
2016,1,1,09:00,UTC,8,1036.7,76,0,-1,-4.2,-7.8,50000,139,10.8,6.7
2016,1,1,10:00,UTC,8,1036.9,80,0,-1,-4.1,-7.1,50000,141,6.4,4
2016,1,1,11:00,UTC,8,1037.1,79,0,-1,-4.7,-7.7,50000,123,9.8,5.6
2016,1,1,12:00,UTC,8,1037.5,79,0,-1,-4.7,-7.8,50000,139,9.1,6.1
2016,1,1,13:00,UTC,8,1037.9,77,0,-1,-5,-8.4,50000,143,7.8,5.3
2016,1,1,14:00,UTC,8,1038.2,78,0,-1,-4.8,-8.2,50000,112,7.2,4.2
2016,1,1,15:00,UTC,8,1038.6,74,0,-1,-4.9,-8.9,50000,126,8.2,5.3
2016,1,1,16:00,UTC,8,1038.8,74,0,-1,-4.6,-8.5,50000,138,8.1,5.3
2016,1,1,17:00,UTC,8,1039.3,76,0,-1,-4.8,-8.4,49330,114,6.9,3.4
2016,1,1,18:00,UTC,8,1039.6,70,0,-1,-5,-9.6,35940,113,8.1,4.7
2016,1,1,19:00,UTC,8,1040,72,0,-1,-4.9,-9.1,50000,134,5.3,2.6
2016,1,1,20:00,UTC,8,1040.4,72,0,-1,-4.7,-9,40970,117,5.8,3
2016,1,1,21:00,UTC,7,1040.8,73,0,-1,-4.8,-9,42800,106,5.9,3.2
2016,1,1,22:00,UTC,7,1040.9,69,0,-1,-5.1,-9.9,50000,113,6.3,3.3
2016,1,1,23:00,UTC,5,1041.5,71,0,-1,-5.9,-10.4,50000,138,8,5
2016,1,2,00:00,UTC,7,1042.3,74,0,-1,-6.6,-10.4,42700,115,9.6,4.6
2016,1,2,01:00,UTC,4,1042.7,78,0,-1,-7.5,-10.6,50000,106,5,2.9
2016,1,2,02:00,UTC,7,1043.3,79,0,-1,-7.7,-10.7,50000,109,5.5,3.2
2016,1,2,03:00,UTC,7,1043.6,79,0,-1,-7.9,-10.9,50000,109,7.6,5
2016,1,2,04:00,UTC,7,1044,79,0,-1,-8,-11,50000,110,5.9,3.7
2016,1,2,05:00,UTC,1,1044.4,84,0,-1,-9,-11.2,50000,103,3.8,2.5
2016,1,2,06:00,UTC,0,1044.4,84,0,-1,-9.2,-11.4,38200,101,4.6,2.5
