Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2012,1,1,00:00,UTC,,1008.1,95,,0,-2.1,-2.8,8350,0,1.2,0
2012,1,1,01:00,UTC,7,1008.4,96,,0,-1.9,-2.4,7720,0,1.3,0
2012,1,1,02:00,UTC,,1008.7,97,,0,-1.9,-2.3,8150,242,1.1,0.6
2012,1,1,03:00,UTC,7,1008.9,96,,0,-1.4,-2.1,7060,297,1.8,0.9
2012,1,1,04:00,UTC,7,1009.2,97,,0,-1.5,-2,13090,230,1.1,0.6
2012,1,1,05:00,UTC,7,1009.3,98,,0,-2,-2.3,13310,134,1.3,0.7
2012,1,1,06:00,UTC,6,1009.7,98,,0,-3.7,-3.9,10770,198,1.2,0.9
2012,1,1,07:00,UTC,3,1010.1,99,,0,-4.2,-4.3,13150,0,0.8,0
2012,1,1,08:00,UTC,1,1010.5,99,,0,-4.1,-4.2,14770,148,1.3,0.7
2012,1,1,09:00,UTC,0,1010.6,99,,0,-3.9,-4,13870,155,2,1.1
2012,1,1,10:00,UTC,,1010.2,99,,0,-2.6,-2.6,19330,123,2.9,1.7
2012,1,1,11:00,UTC,0,1009.8,96,,0,-2.3,-2.8,32750,131,3.2,1.8
2012,1,1,12:00,UTC,0,1009.9,96,,0,-2.3,-2.8,24880,128,3.7,2.2
2012,1,1,13:00,UTC,0,1009.7,95,,0,-2.5,-3.2,17220,110,5.2,3.3
2012,1,1,14:00,UTC,0,1009.8,92,,0,-3,-4.1,31030,124,4.8,2.6
2012,1,1,15:00,UTC,3,1008.8,88,,0,-2.7,-4.4,47760,113,6.7,4.1
2012,1,1,16:00,UTC,6,1008.1,88,,0,-2.2,-4,50000,114,7.5,4.3
2012,1,1,17:00,UTC,7,1007.9,87,,0,-1.7,-3.6,50000,121,7.2,4.5
2012,1,1,18:00,UTC,7,1007.3,88,,0,-0.8,-2.5,50000,123,8.2,5
2012,1,1,19:00,UTC,7,1007,87,,0,0.1,-1.8,15540,132,9.8,5.9
2012,1,1,20:00,UTC,7,1006.6,90,,0,0.3,-1.1,8350,127,7.5,4.5
2012,1,1,21:00,UTC,7,1006.5,92,,0,0.8,-0.3,47010,123,5.5,3.4
2012,1,1,22:00,UTC,,1006.1,96,,0,0.9,0.3,31640,126,6.4,4
2012,1,1,23:00,UTC,7,1005.5,94,1.7,0,1.1,0.3,2710,138,9.6,6.2
2012,1,2,00:00,UTC,7,1004.9,98,,2,0.8,0.5,20850,142,10.6,6.3
2012,1,2,01:00,UTC,8,1004.6,96,,0,1,0.5,8740,138,9.7,5.7
2012,1,2,02:00,UTC,8,1004,98,0.2,0,1.1,0.8,10190,139,10.5,6.3
2012,1,2,03:00,UTC,7,1003.9,98,0.5,0,1.1,0.8,7130,147,10.8,6.1
2012,1,2,04:00,UTC,,1003.6,97,0.2,0,1.2,0.8,10000,143,11.3,7.3
2012,1,2,05:00,UTC,8,1003.3,97,0.2,0,1,0.6,4740,137,11.1,7.2
2012,1,2,06:00,UTC,,1003.1,99,0.2,0,0.8,0.6,7410,133,9.5,6.4
2012,1,2,07:00,UTC,,1003,99,0.2,0,0.7,0.5,6370,129,9.7,5.8
2012,1,2,08:00,UTC,,1002.8,99,0.2,0,0.9,0.8,3640,131,9.3,6.2
2012,1,2,09:00,UTC,7,1002.2,99,,0,0.7,0.5,4990,121,10.2,5.4
2012,1,2,10:00,UTC,,1002,99,1,0,0.3,0.2,1750,122,10.2,5.3
2012,1,2,11:00,UTC,,1001,98,,0,0.5,0.2,14110,116,8.9,5.6
2012,1,2,12:00,UTC,7,1000.2,99,0.2,0,0.2,0.1,2650,114,9.6,5.6
2012,1,2,13:00,UTC,,999,99,0.2,0,-0.1,-0.2,1300,115,10.6,5.6
2012,1,2,14:00,UTC,8,998.3,99,,0,0,0,4940,115,10.9,5.8
2012,1,2,15:00,UTC,,997.1,98,,0,0.2,0,6820,115,9.4,5.3
2012,1,2,16:00,UTC,8,996.7,100,,2,0.3,0.2,2620,121,8.9,5.3
2012,1,2,17:00,UTC,8,995.9,100,0.4,2,0.4,0.4,4620,129,8.7,5
2012,1,2,18:00,UTC,8,995.4,100,0.5,3,0.6,0.6,4160,131,9.2,5.8
2012,1,2,19:00,UTC,,995.3,100,0.2,2,0.8,0.8,5670,129,7.4,4.6
2012,1,2,20:00,UTC,8,995.6,100,,2,1,1,5890,123,4.7,3.1
2012,1,2,21:00,UTC,8,996.3,100,,2,1.3,1.3,5430,186,2,1.1
2012,1,2,22:00,UTC,7,996.8,100,,2,2.2,2.2,50000,223,3,1.6
2012,1,2,23:00,UTC,7,997.9,100,,2,3.3,3.2,50000,227,5.2,2.4
2012,1,3,00:00,UTC,2,998.5,97,,0,2.6,2.3,47000,209,3.1,1.8
2012,1,3,01:00,UTC,7,999.2,97,,0,2.9,2.5,33690,195,4.6,2.5
2012,1,3,02:00,UTC,,999.6,95,,0,3,2.3,25090,193,4.6,2.7
2012,1,3,03:00,UTC,1,999.6,95,,0,2.6,1.9,20620,195,4.4,2.5
2012,1,3,04:00,UTC,7,999.4,92,,0,3.5,2.4,24260,202,6.7,3.6
2012,1,3,05:00,UTC,8,999.4,89,,0,3.7,2.1,27980,203,6.3,3.5
2012,1,3,06:00,UTC,8,999.7,88,,0,3.8,2,30630,223,6.8,3.9
2012,1,3,07:00,UTC,7,999.9,84,,0,3.8,1.3,44120,225,5.5,2.7
2012,1,3,08:00,UTC,7,1000.3,83,,0,3.7,1.2,49320,225,7.9,3.4
2012,1,3,09:00,UTC,7,1000.4,83,,0,3.9,1.2,45590,236,7.6,3.5
2012,1,3,10:00,UTC,,1000.7,83,,0,4,1.3,43980,228,6.2,3.1
2012,1,3,11:00,UTC,7,1000.5,85,,-1,4.1,1.8,34350,224,6.2,2.8
2012,1,3,12:00,UTC,7,1000.7,85,,-1,3.9,1.6,29200,226,6.1,3
2012,1,3,13:00,UTC,4,1001.2,85,,-1,3.4,1.2,36430,229,7.5,3.1
2012,1,3,14:00,UTC,2,1000.9,86,,-1,2.9,0.7,32350,215,4.8,2.1
2012,1,3,15:00,UTC,,1000.7,89,,-1,2.2,0.6,30020,189,3.5,1.8
2012,1,3,16:00,UTC,0,1000.3,94,,-1,0.2,-0.6,22530,143,2.6,1.4
2012,1,3,17:00,UTC,4,999.4,96,,-1,0.1,-0.4,19320,146,3.2,2.1
2012,1,3,18:00,UTC,4,998.4,95,,-1,1.6,0.8,27600,139,3.6,2.3
2012,1,3,19:00,UTC,6,997.9,95,0.2,0,2.5,1.8,11980,178,7.7,3.7
2012,1,3,20:00,UTC,7,996.7,85,,-1,3.3,1.1,28600,153,5.6,3.5
2012,1,3,21:00,UTC,7,994.9,85,,-1,3.2,0.9,40500,148,9.4,5.2
2012,1,3,22:00,UTC,,993.7,95,,-1,2.7,1.9,24230,142,10.3,5.9
2012,1,3,23:00,UTC,7,991.3,90,,-1,3,1.5,35140,137,11.9,7.3
2012,1,4,00:00,UTC,7,988.8,89,0.2,0,3.1,1.5,15350,138,14.1,8.9
2012,1,4,01:00,UTC,7,986.7,97,3,-1,1.4,1,1410,135,12.7,8.7
2012,1,4,02:00,UTC,7,984.2,99,1.6,-1,0.8,0.6,2570,128,10.9,7.5
2012,1,4,03:00,UTC,8,982.2,98,0.8,-1,1.2,0.9,3580,134,15.7,7.8
2012,1,4,04:00,UTC,8,980.4,98,1.4,-1,1.1,0.8,4710,136,13,8.6
2012,1,4,05:00,UTC,7,978.8,99,1.6,0,0.7,0.6,2480,138,12.2,7.1
2012,1,4,06:00,UTC,,977.7,99,1.9,0,1.6,1.5,3260,134,9.3,5
2012,1,4,07:00,UTC,7,976.6,100,,0,3.1,3.1,17150,140,8.2,4.2
2012,1,4,08:00,UTC,7,975.7,96,,0,3.7,3.1,18160,148,9,5.4
2012,1,4,09:00,UTC,7,974.5,95,1,-1,4.5,3.8,8530,165,10.9,6.9
2012,1,4,10:00,UTC,,973.2,96,1.7,-1,3.7,3.1,9700,159,12.5,6.5
2012,1,4,11:00,UTC,8,971.5,96,1.1,-1,4.6,4,7700,168,12.2,6.4
2012,1,4,12:00,UTC,8,970.3,96,1.9,-1,4.4,3.8,7760,167,11.3,6.2
2012,1,4,13:00,UTC,7,969.2,96,1.1,-1,4.3,3.7,10500,174,10.4,6.2
2012,1,4,14:00,UTC,7,968.4,96,0.5,-1,4.4,3.8,16420,172,9.8,4.8
2012,1,4,15:00,UTC,7,967.9,96,0.8,-1,3.5,3,13670,180,8.9,4.4
2012,1,4,16:00,UTC,8,967.9,98,0.6,-1,3.4,3.1,3920,195,7.3,4.1
2012,1,4,17:00,UTC,,968.4,97,0.7,-1,3,2.7,9480,227,8.6,3.8
2012,1,4,18:00,UTC,8,969.3,97,0.7,-1,2.4,2,8690,239,9.8,5.2
2012,1,4,19:00,UTC,7,970.2,96,,-1,2.5,2,12930,243,11.9,6.2
2012,1,4,20:00,UTC,8,970.7,97,0.2,-1,2.5,2.1,6740,241,8.7,5.1
2012,1,4,21:00,UTC,8,971.2,92,,-1,2.5,1.4,50000,228,8.9,4.9
2012,1,4,22:00,UTC,7,971.8,90,,-1,2.3,0.7,50000,242,11.4,5.4
2012,1,4,23:00,UTC,7,972,93,,-1,1.8,0.8,25300,241,8.2,4.6
2012,1,5,00:00,UTC,7,971.8,95,0.3,-1,1.4,0.7,12540,242,10.7,5.8
2012,1,5,01:00,UTC,7,971.6,89,,-1,1.7,0.1,50000,245,8.7,4.8
2012,1,5,02:00,UTC,8,971.6,82,,-1,2,-0.7,50000,241,11,5.3
2012,1,5,03:00,UTC,7,971.5,84,,-1,1.8,-0.6,50000,244,9.6,5
2012,1,5,04:00,UTC,8,971.3,81,,-1,1.9,-0.9,50000,241,9,4.5
2012,1,5,05:00,UTC,,971,81,,-1,1.8,-1.2,50000,244,8,4.2
2012,1,5,06:00,UTC,7,970.9,81,,-1,1.6,-1.3,50000,240,8.4,4.5
2012,1,5,07:00,UTC,7,971.2,83,,-1,1.5,-1.1,50000,231,8.3,3.4
2012,1,5,08:00,UTC,1,971.5,86,,-1,1,-1.1,50000,228,4.4,2.5
2012,1,5,09:00,UTC,,971.9,87,,-1,1.5,-0.5,50000,225,4.9,2.4
2012,1,5,10:00,UTC,4,972,84,,-1,1.9,-0.4,50000,223,5,2.4
2012,1,5,11:00,UTC,,972.2,85,,-1,2.1,-0.1,50000,230,4.6,2.1
2012,1,5,12:00,UTC,2,972.3,86,,-1,1.8,-0.3,49110,215,3.7,2
2012,1,5,13:00,UTC,0,972.6,92,,-1,-0.2,-1.4,40110,205,2.2,1.2
2012,1,5,14:00,UTC,,973.1,98,,-1,-1.3,-1.6,29730,185,1.7,1.4
2012,1,5,15:00,UTC,0,973.7,99,,-1,-2,-2.2,19470,0,1.1,0
2012,1,5,16:00,UTC,,974.5,100,,-1,-2.1,-2.2,13850,16,1.1,0.9
2012,1,5,17:00,UTC,3,975.1,100,,-1,-1.9,-1.9,13410,24,1.4,0.8
2012,1,5,18:00,UTC,,976.1,99,,-1,-1.7,-1.8,13980,0,1.1,0
2012,1,5,19:00,UTC,4,977,98,,-1,-1.3,-1.5,18710,342,3.8,2.5
2012,1,5,20:00,UTC,0,977.9,97,,-1,-1.6,-2,26390,357,2.8,1.8
2012,1,5,21:00,UTC,,979.1,98,,-1,-2.4,-2.6,23000,48,1.4,0.9
2012,1,5,22:00,UTC,,980.3,99,,-1,-2.8,-3,24350,358,2.2,1.3
2012,1,5,23:00,UTC,7,981.2,98,,-1,-2.5,-2.8,26000,3,1.3,0.6
2012,1,6,00:00,UTC,8,982.1,97,,-1,-0.8,-1.2,43200,354,4.2,2.8
2012,1,6,01:00,UTC,,983.2,96,,-1,-0.5,-1,39590,352,3.3,2.2
2012,1,6,02:00,UTC,8,984.5,94,,-1,-0.3,-1.1,46940,349,4.8,3.1
2012,1,6,03:00,UTC,7,985.7,88,,-1,-0.2,-1.8,50000,343,6.9,4.4
2012,1,6,04:00,UTC,8,986.5,94,,-1,-0.4,-1.3,37600,326,4.2,2.5
2012,1,6,05:00,UTC,,987.4,93,,-1,-0.7,-1.7,27940,334,5.2,3.1
2012,1,6,06:00,UTC,7,988.6,89,,-1,-1,-2.6,50000,339,6,3.4
2012,1,6,07:00,UTC,7,989.6,87,,-1,-1.2,-3,50000,337,6,3.3
2012,1,6,08:00,UTC,7,990.7,86,,-1,-1.2,-3.2,50000,348,5.5,2.8
2012,1,6,09:00,UTC,,991.5,87,,-1,-1.2,-3,45580,337,4,2
2012,1,6,10:00,UTC,7,992.2,92,,-1,-1.3,-2.4,9940,333,3.4,1.8
2012,1,6,11:00,UTC,7,992.3,88,,-1,-1.1,-2.7,25880,340,4.3,2
2012,1,6,12:00,UTC,,993,91,0.2,-1,-1.3,-2.6,6480,339,6.2,3.5
2012,1,6,13:00,UTC,7,993.8,81,,-1,-1.3,-4.1,50000,341,7.2,3.8
2012,1,6,14:00,UTC,4,994.3,82,,-1,-1.9,-4.5,50000,314,2.5,1.5
2012,1,6,15:00,UTC,,994.9,83,,-1,-2.5,-5.1,50000,274,2.3,1.1
2012,1,6,16:00,UTC,0,994.9,89,,-1,-3.9,-5.4,50000,246,1.7,0.9
2012,1,6,17:00,UTC,0,995,94,,-1,-4.8,-5.6,33200,238,2.6,1.6
2012,1,6,18:00,UTC,6,994.7,96,,-1,-3.9,-4.5,39800,241,2.4,1.4
2012,1,6,19:00,UTC,8,994.4,87,,-1,-1.6,-3.4,50000,221,3,1.6
2012,1,6,20:00,UTC,7,993.8,86,,-1,-0.7,-2.8,25130,213,5,2.8
2012,1,6,21:00,UTC,7,993.4,84,,-1,-0.8,-3.2,27570,217,5,2.9
2012,1,6,22:00,UTC,,992.7,86,,-1,-0.9,-2.9,50000,226,5.9,2.8
2012,1,6,23:00,UTC,7,992.2,87,,-1,-0.6,-2.4,6920,215,6,3.3
2012,1,7,00:00,UTC,,991.8,97,0.8,3,-1,-1.3,1090,232,5.2,2.5
2012,1,7,01:00,UTC,,991.4,97,0.5,0,-1,-1.4,1360,226,5.1,2.7
2012,1,7,02:00,UTC,8,991.5,98,0.2,4,-1.1,-1.3,2690,320,6.2,2.6
2012,1,7,03:00,UTC,7,992.1,94,,4,-1.6,-2.4,50000,290,5.1,2.2
2012,1,7,04:00,UTC,7,991.9,90,,4,-2.2,-3.6,50000,261,2.1,1.1
2012,1,7,05:00,UTC,,991.7,93,0.2,3,-2.6,-3.6,2320,261,4.4,2.4
2012,1,7,06:00,UTC,7,991.7,94,,3,-2.7,-3.5,1270,268,3.7,2.1
2012,1,7,07:00,UTC,7,992.1,95,0.2,3,-3.1,-3.8,3870,271,2.9,1.5
2012,1,7,08:00,UTC,7,992.4,94,,4,-3.6,-4.4,4380,259,3.2,1.3
2012,1,7,09:00,UTC,7,992.7,96,,4,-4,-4.6,14780,267,2,1.1
2012,1,7,10:00,UTC,,992.9,93,,5,-3,-4,18480,301,3.5,1.8
2012,1,7,11:00,UTC,7,993.2,92,,5,-3.2,-4.2,12400,302,2.5,1.5
2012,1,7,12:00,UTC,1,993.7,92,,5,-3.5,-4.6,43760,302,3.2,1.8
2012,1,7,13:00,UTC,0,994.3,93,,5,-4.3,-5.3,32700,295,2.7,1.6
2012,1,7,14:00,UTC,0,995.2,96,,4,-5.8,-6.4,34680,302,2.2,1.3
2012,1,7,15:00,UTC,7,996.4,95,,5,-5,-5.6,36900,1,5.5,3.2
2012,1,7,16:00,UTC,8,997.7,95,,5,-5.1,-5.8,36790,355,2.4,1.5
2012,1,7,17:00,UTC,8,998.4,95,,4,-5.1,-5.8,33180,4,3.7,2.2
2012,1,7,18:00,UTC,8,999.2,94,,4,-5.1,-6,47470,344,2.4,1.4
2012,1,7,19:00,UTC,8,1000.2,93,,4,-5,-6,44340,8,2,1
2012,1,7,20:00,UTC,7,1000.8,93,,4,-5.6,-6.5,41270,332,1.5,0.7
2012,1,7,21:00,UTC,,1001.7,95,,4,-7.1,-7.8,22270,0,1.2,0
2012,1,7,22:00,UTC,,1002.8,96,,4,-6.7,-7.2,18140,318,1.8,1
2012,1,7,23:00,UTC,8,1003.5,97,,4,-6.9,-7.2,15170,340,3.2,1.9
2012,1,8,00:00,UTC,2,1004.6,96,,4,-8.1,-8.6,16660,26,1.6,0.8
2012,1,8,01:00,UTC,0,1005.4,96,,4,-9.2,-9.7,28410,21,2.1,1.5
2012,1,8,02:00,UTC,0,1006,96,,4,-10.1,-10.6,32330,19,2.7,1.9
2012,1,8,03:00,UTC,9,1006.8,93,,4,-12.1,-13,930,0,0.6,0
2012,1,8,04:00,UTC,,1007.4,95,,4,-11.1,-11.8,37900,41,1.6,1
2012,1,8,05:00,UTC,,1008.2,93,,4,-11.2,-12.1,36270,90,1.7,0.9
2012,1,8,06:00,UTC,0,1009.1,93,,4,-11.3,-12.2,35500,48,1.8,1
2012,1,8,07:00,UTC,0,1010.1,92,,4,-11.5,-12.5,35410,31,1.6,1.1
2012,1,8,08:00,UTC,0,1011,92,,4,-11.6,-12.7,30950,77,1.8,1.1
2012,1,8,09:00,UTC,0,1011.7,92,,4,-11.4,-12.5,38870,32,1.5,1
2012,1,8,10:00,UTC,0,1012.1,93,,4,-10.7,-11.6,33160,26,1.3,0.7
2012,1,8,11:00,UTC,,1012.4,93,,4,-9.9,-10.8,25280,52,2.6,1.7
2012,1,8,12:00,UTC,0,1013,93,,4,-9.6,-10.5,36930,61,2.8,1.6
2012,1,8,13:00,UTC,0,1013.4,91,,4,-9.4,-10.6,34890,51,3,2
2012,1,8,14:00,UTC,7,1013.9,91,,4,-9.4,-10.5,35460,27,3,1.6
2012,1,8,15:00,UTC,7,1014.4,91,,4,-9.4,-10.6,38100,23,3.3,2.2
2012,1,8,16:00,UTC,6,1015,92,,4,-9.1,-10.1,30940,63,3.5,1.6
2012,1,8,17:00,UTC,4,1015.2,93,,4,-8.7,-9.7,28850,51,2.9,1.6
2012,1,8,18:00,UTC,5,1015.5,93,,4,-8.2,-9.1,32700,56,4.3,1.9
2012,1,8,19:00,UTC,7,1015.8,92,,4,-7.6,-8.6,39020,49,3.9,2
2012,1,8,20:00,UTC,,1016.2,92,,4,-6.8,-7.9,45920,50,2.9,1.7
2012,1,8,21:00,UTC,7,1016.2,91,,4,-6.4,-7.6,47990,21,4.2,2.8
2012,1,8,22:00,UTC,7,1016,91,,4,-6.2,-7.4,49850,30,3.4,1.8
2012,1,8,23:00,UTC,7,1016,91,,4,-6.3,-7.5,46990,38,2.6,1.4
2012,1,9,00:00,UTC,,1016,92,,4,-6.3,-7.4,41550,25,3.1,1.8
2012,1,9,01:00,UTC,7,1016.3,92,,4,-6.6,-7.6,39950,25,3.2,2.1
2012,1,9,02:00,UTC,7,1016.3,92,,4,-6.8,-7.9,38360,360,2.9,1.9
2012,1,9,03:00,UTC,7,1016.4,92,,4,-7.4,-8.5,44280,3,2.6,1.8
2012,1,9,04:00,UTC,0,1016.2,93,,4,-8.3,-9.2,39570,11,3.1,1.7
2012,1,9,05:00,UTC,1,1016.4,94,,4,-9.3,-10.1,29490,341,2.2,1.5
2012,1,9,06:00,UTC,0,1016.3,93,,4,-9.6,-10.5,21470,20,1.9,1.1
2012,1,9,07:00,UTC,0,1016.3,92,,4,-9.8,-10.9,34420,23,3,2.2
2012,1,9,08:00,UTC,0,1016.4,92,,4,-10.5,-11.5,30500,356,1.9,1.1
2012,1,9,09:00,UTC,0,1016.6,92,,4,-10.1,-11.2,33850,353,2.5,1.7
2012,1,9,10:00,UTC,0,1016.4,91,,4,-9.4,-10.5,30300,12,1.6,0.8
2012,1,9,11:00,UTC,0,1015.9,91,,4,-8.8,-9.9,25660,348,2.4,1.4
2012,1,9,12:00,UTC,0,1015.7,91,,4,-8.9,-10.2,29240,327,1.8,1.1
2012,1,9,13:00,UTC,0,1015.6,92,,4,-9.1,-10.2,30290,328,1.5,1.1
2012,1,9,14:00,UTC,0,1015.5,93,,4,-10.2,-11,24070,339,1.7,1.1
2012,1,9,15:00,UTC,,1015.7,93,,4,-11,-11.9,16680,296,2,1.1
2012,1,9,16:00,UTC,1,1015.5,93,,4,-12.4,-13.3,19600,0,0.9,0
2012,1,9,17:00,UTC,2,1015.3,93,,4,-12.5,-13.4,13500,0,1.4,0
2012,1,9,18:00,UTC,0,1015.6,92,,4,-12.9,-13.9,14910,343,1.3,0.9
2012,1,9,19:00,UTC,,1015.6,93,,4,-12.9,-13.7,11760,26,1.6,1.1
2012,1,9,20:00,UTC,9,1015.5,93,,4,-12.9,-13.8,4390,46,1.5,1
2012,1,9,21:00,UTC,,1015.6,93,,4,-12.8,-13.7,9940,47,1.6,0.9
2012,1,9,22:00,UTC,,1015.8,92,,4,-12.7,-13.7,7260,27,1.4,0.8
2012,1,9,23:00,UTC,7,1015.9,93,,4,-12.9,-13.8,1650,76,1.6,0.9
2012,1,10,00:00,UTC,5,1016,93,,4,-12.8,-13.7,12030,55,1.5,0.9
2012,1,10,01:00,UTC,,1016.2,93,,4,-12.5,-13.3,8860,81,1.5,0.6
