Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2015,1,1,00:00,UTC,7,1011.8,99,0,8,1.3,1.2,1270,0,1.1,0
2015,1,1,01:00,UTC,7,1011.5,100,0,8,1.2,1.2,2930,239,2.9,1.3
2015,1,1,02:00,UTC,3,1011.1,100,0,8,1.4,1.4,14770,217,4,2.6
2015,1,1,03:00,UTC,7,1010.5,99,0,8,2.3,2.1,43160,214,3.3,2.2
2015,1,1,04:00,UTC,7,1009.9,98,0,8,1.4,1.2,14830,205,2.6,1.6
2015,1,1,05:00,UTC,7,1009.6,100,0,8,1.4,1.3,16170,247,4,2.5
2015,1,1,06:00,UTC,8,1009.1,99,0,8,2.1,1.8,12150,263,4.2,1.9
2015,1,1,07:00,UTC,9,1009.2,100,0,8,1.3,1.3,760,239,4.4,2.8
2015,1,1,08:00,UTC,8,1008.9,100,0,8,1.1,1.1,2630,242,5.2,2.8
2015,1,1,09:00,UTC,8,1008.1,100,0,8,1.2,1.1,1220,230,3.1,1.2
2015,1,1,10:00,UTC,8,1007.2,100,0,8,1.9,1.9,12610,238,4.5,1.9
2015,1,1,11:00,UTC,7,1006.3,97,0,8,2.4,1.9,13970,245,5,2.5
2015,1,1,12:00,UTC,7,1005.5,94,0,8,2.7,1.8,16450,239,4.8,2.9
2015,1,1,13:00,UTC,7,1004.8,92,0,8,2.9,1.6,17350,234,4.8,2.3
2015,1,1,14:00,UTC,8,1005,92,0,7,3,1.8,17250,226,4.8,2.5
2015,1,1,15:00,UTC,8,1004.1,91,0,7,3.8,2.4,21830,248,6.5,2.7
2015,1,1,16:00,UTC,8,1003.5,90,0,7,4.3,2.9,34880,265,6.3,3.1
2015,1,1,17:00,UTC,8,1003.4,89,0,5,4.6,3,44200,249,7.6,3.3
2015,1,1,18:00,UTC,8,1003.1,90,0,5,4.6,3,50000,247,5.4,2.9
2015,1,1,19:00,UTC,8,1002.7,89,0,5,4.5,2.9,49990,238,4.5,2.7
2015,1,1,20:00,UTC,8,1002.1,89,0,5,4.7,3,43980,244,5.9,3.3
2015,1,1,21:00,UTC,8,1001.6,90,0,5,4.4,2.9,47180,235,4.9,2.5
2015,1,1,22:00,UTC,7,1000.7,93,0,5,3.8,2.9,37580,232,5.4,2.8
2015,1,1,23:00,UTC,7,1000,93,0,5,4.2,3.2,40530,237,5.3,3
2015,1,2,00:00,UTC,7,998.9,94,0,4,4.2,3.3,32260,239,5.9,2.8
2015,1,2,01:00,UTC,7,997.4,95,0,5,3.8,3,20150,210,4.1,2.3
2015,1,2,02:00,UTC,8,995.5,95,0,4,4,3.3,13380,200,4.3,2
2015,1,2,03:00,UTC,8,993.9,97,1.2,4,4.4,3.9,6950,208,4.9,2.2
2015,1,2,04:00,UTC,8,991.4,99,4.2,3,4.3,4.1,2990,194,5.8,3.2
2015,1,2,05:00,UTC,8,988.4,99,1.7,2,4.4,4.2,8370,190,7.5,4.2
2015,1,2,06:00,UTC,8,985.5,99,1.2,2,4.5,4.3,5310,194,8.4,5.3
2015,1,2,07:00,UTC,8,983,98,0.9,0,4.6,4.2,6860,198,10.7,4.9
2015,1,2,08:00,UTC,8,980.2,98,3.4,0,4.4,4.1,3030,200,10.5,5.3
2015,1,2,09:00,UTC,8,977.5,97,1.8,0,4.7,4.3,5500,208,10.7,5.2
2015,1,2,10:00,UTC,8,975.1,97,3,0,5.1,4.6,4630,219,12.2,6.7
2015,1,2,11:00,UTC,8,972.9,96,0,0,5.5,4.9,13510,228,12.5,6
2015,1,2,12:00,UTC,8,971.8,95,1.3,0,5.8,5.2,8470,248,12.3,6.2
2015,1,2,13:00,UTC,8,971.8,92,0,0,5.2,4,30740,268,14.7,6.9
2015,1,2,14:00,UTC,8,973.1,94,0,0,3.5,2.5,41000,283,11.2,6
2015,1,2,15:00,UTC,8,974.4,84,0,0,3.9,1.5,50000,278,11.9,6.4
2015,1,2,16:00,UTC,5,975.5,79,0,0,3.7,0.3,50000,277,13.6,7
2015,1,2,17:00,UTC,3,976.4,76,0,0,3.7,-0.1,50000,273,11.3,6.1
2015,1,2,18:00,UTC,1,977.1,73,0,0,3.8,-0.5,50000,270,13.4,7.1
2015,1,2,19:00,UTC,1,977.6,73,0,0,3.6,-0.8,45210,274,13.6,8.2
2015,1,2,20:00,UTC,7,977.9,71,0,0,3.8,-1.1,50000,272,14.5,6.2
2015,1,2,21:00,UTC,1,978,67,0,0,3.5,-1.9,50000,264,13.7,6.5
2015,1,2,22:00,UTC,1,977.9,69,0,0,3.3,-1.9,50000,263,13.2,6.8
2015,1,2,23:00,UTC,0,977.6,65,0,0,3.3,-2.7,49480,267,14.4,6.5
2015,1,3,00:00,UTC,8,976.9,66,0,0,3.3,-2.4,46420,263,15.7,8.1
2015,1,3,01:00,UTC,8,976.9,96,1.1,0,0.7,0.1,1040,262,11.4,6.5
2015,1,3,02:00,UTC,8,976.6,95,0.5,0,1.1,0.4,6080,263,10.6,5.9
2015,1,3,03:00,UTC,8,976.6,88,0.2,0,1.9,0.1,12700,273,13.7,7.5
2015,1,3,04:00,UTC,8,976.5,78,0,0,2.9,-0.5,36160,293,15,7.4
2015,1,3,05:00,UTC,7,976.4,71,0,0,3.7,-1,49220,294,16.3,7.1
2015,1,3,06:00,UTC,7,976.9,77,0,0,3.4,-0.2,19570,291,14.8,7.7
