Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2011,1,1,00:00,UTC,8,989.4,96,0.3,42,-1.9,-2.5,1890,133,7.1,4.9
2011,1,1,01:00,UTC,8,988.2,97,0.8,38,-1.7,-2.1,970,134,8.5,5.6
2011,1,1,02:00,UTC,8,986.8,98,0.7,39,-1.6,-1.9,630,127,10.2,6.6
2011,1,1,03:00,UTC,8,985.9,98,0.5,40,-1.6,-1.9,1070,115,10.7,5.8
2011,1,1,04:00,UTC,8,985.7,98,0.5,39,-1.5,-1.9,1050,115,9.9,5.4
2011,1,1,05:00,UTC,8,985.7,98,0.3,42,-1.7,-2,1410,103,8.6,5.2
2011,1,1,06:00,UTC,8,986.5,97,0.2,43,-1.7,-2.1,2310,90,8.9,5.9
2011,1,1,07:00,UTC,8,987.6,97,0.5,42,-1.8,-2.2,900,82,8.3,4.8
2011,1,1,08:00,UTC,8,988.7,97,0.2,43,-2,-2.4,2560,76,10,5.2
2011,1,1,09:00,UTC,7,989.7,96,,44,-2.2,-2.7,5340,72,9.2,5.2
2011,1,1,10:00,UTC,8,990.6,95,,44,-2.4,-3.2,50000,64,8,5
2011,1,1,11:00,UTC,7,991.3,93,,44,-2.6,-3.6,45780,53,7.5,4
2011,1,1,12:00,UTC,8,992.4,93,,44,-2.7,-3.8,22790,35,8.8,4.7
2011,1,1,13:00,UTC,8,993.7,89,,44,-3.4,-4.9,33680,38,8.3,4.7
2011,1,1,14:00,UTC,7,994.5,88,,44,-3.8,-5.5,33040,44,8.4,4.2
2011,1,1,15:00,UTC,7,995.8,88,,44,-4.7,-6.3,29520,28,8,5.1
2011,1,1,16:00,UTC,7,996.4,88,,44,-5,-6.6,30940,23,7.3,4.7
2011,1,1,17:00,UTC,8,997.1,88,,44,-6,-7.7,14960,29,6.9,4.6
2011,1,1,18:00,UTC,8,997.7,88,,43,-6.2,-7.8,15380,20,5.9,3.8
2011,1,1,19:00,UTC,7,998.2,89,,43,-6.2,-7.8,13600,13,5.4,3.4
2011,1,1,20:00,UTC,7,999,89,,43,-6.7,-8.1,13430,358,5.5,3.4
2011,1,1,21:00,UTC,1,999.6,90,,43,-7.7,-9,14620,1,5.2,3.5
2011,1,1,22:00,UTC,0,1000.1,90,,43,-8.7,-10,13760,11,5.4,3.5
2011,1,1,23:00,UTC,0,1000.5,90,,43,-9.7,-11.1,14660,10,4.1,3
2011,1,2,00:00,UTC,0,1000.9,90,,43,-10.9,-12.2,14430,17,2,1.3
2011,1,2,01:00,UTC,0,1001.6,91,,43,-11.7,-12.9,14910,353,2.6,1.8
2011,1,2,02:00,UTC,0,1002.1,90,,43,-12.4,-13.7,15530,3,2.9,1.9
2011,1,2,03:00,UTC,0,1002.5,90,,43,-14.1,-15.4,10410,346,2.1,1.1
2011,1,2,04:00,UTC,4,1002.8,89,,43,-13.7,-15.2,16520,356,2.7,2
2011,1,2,05:00,UTC,0,1003.2,89,,43,-14.8,-16.1,14140,21,1.9,1.2
2011,1,2,06:00,UTC,7,1003.6,89,,43,-14.5,-15.9,17190,1,2.6,1.5
2011,1,2,07:00,UTC,8,1003.9,88,,43,-14.3,-15.8,16550,350,2.1,1
2011,1,2,08:00,UTC,8,1004.4,87,,43,-14,-15.7,16600,0,1.5,0
2011,1,2,09:00,UTC,8,1004.7,87,,43,-13.5,-15.2,15420,0,1.5,0
2011,1,2,10:00,UTC,8,1004.8,87,,42,-12.5,-14.3,16420,0,0.8,0
2011,1,2,11:00,UTC,8,1004.9,87,,42,-11.5,-13.2,15210,277,1.9,0.9
2011,1,2,12:00,UTC,7,1005.2,87,,42,-11.2,-12.9,11960,311,1.4,0.7
2011,1,2,13:00,UTC,8,1005.6,88,,42,-11.4,-13,2140,284,1.3,0.8
2011,1,2,14:00,UTC,7,1005.8,89,,42,-10.9,-12.5,13110,0,1.3,0
2011,1,2,15:00,UTC,8,1006.3,88,,42,-10.6,-12.2,13580,318,1.8,0.8
2011,1,2,16:00,UTC,8,1006.6,88,,42,-10.1,-11.7,12370,350,1.7,0.9
2011,1,2,17:00,UTC,8,1006.6,88,,42,-10,-11.6,13700,4,2.2,1.2
2011,1,2,18:00,UTC,8,1006.8,88,,42,-9.8,-11.3,13290,0,1.3,0
2011,1,2,19:00,UTC,7,1007.1,88,,42,-9.7,-11.3,13270,348,1.3,0.7
2011,1,2,20:00,UTC,8,1007.3,88,,42,-9.5,-11.1,12380,298,1.9,1.2
2011,1,2,21:00,UTC,8,1007.5,89,,42,-9.5,-10.9,11910,312,1.9,1.1
2011,1,2,22:00,UTC,8,1007.6,89,,41,-9.2,-10.6,9480,300,1.6,0.9
2011,1,2,23:00,UTC,8,1007.8,90,,41,-8.8,-10.1,5880,346,1.8,0.9
2011,1,3,00:00,UTC,7,1007.9,90,,41,-8.4,-9.7,12000,325,3.2,2
