Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2010,1,1,00:00,UTC,,1003.6,87,,20,-14.6,-16.3,,23,3.2,2.2
2010,1,1,01:00,UTC,,1004,87,,20,-13.3,-14.9,,40,3.3,2
2010,1,1,02:00,UTC,,1004.1,87,,20,-12.4,-14,,41,3.7,1.8
2010,1,1,03:00,UTC,,1004.2,87,,19,-11.8,-13.5,,45,5.3,2.4
2010,1,1,04:00,UTC,,1004.5,87,,20,-11.8,-13.4,,47,6.4,2.8
2010,1,1,05:00,UTC,,1005,86,,20,-12,-13.9,,58,6,3.3
2010,1,1,06:00,UTC,,1005.4,85,,19,-12.5,-14.5,,57,5.5,3.3
2010,1,1,07:00,UTC,,1006.1,85,,19,-13,-15,,54,5.7,3.1
2010,1,1,08:00,UTC,,1006.7,85,,18,-13.6,-15.6,,49,6.3,3
2010,1,1,09:00,UTC,,1007.2,85,,20,-12.6,-14.6,,57,5.8,3.2
2010,1,1,10:00,UTC,,1007.7,85,,18,-12.4,-14.4,,63,6.4,3.5
2010,1,1,11:00,UTC,,1008.5,84,,19,-13.1,-15.2,,58,7.1,4.2
2010,1,1,12:00,UTC,,1009,84,,19,-13.8,-15.9,,57,5.9,3.5
2010,1,1,13:00,UTC,,1009.7,84,,19,-14.5,-16.6,,48,5.2,3
2010,1,1,14:00,UTC,,1010.4,85,,19,-15,-16.9,,35,3.9,2.3
2010,1,1,15:00,UTC,,1011.1,84,,19,-15.1,-17.2,,43,6.2,3.3
2010,1,1,16:00,UTC,,1011.9,83,,19,-15.1,-17.4,,64,6.3,3.7
2010,1,1,17:00,UTC,,1012.6,83,,19,-15.5,-17.7,,56,6.2,3.6
2010,1,1,18:00,UTC,,1013.3,83,,20,-15.9,-18.1,,54,6.1,3.4
2010,1,1,19:00,UTC,,1013.6,83,,19,-16.6,-18.8,,48,4.7,2.6
2010,1,1,20:00,UTC,,1014.3,83,,19,-17.2,-19.3,,35,3.6,2
2010,1,1,21:00,UTC,,1015.1,83,,19,-17.7,-19.9,,33,5.4,3.3
2010,1,1,22:00,UTC,,1015.2,82,,19,-18.4,-20.6,,28,4.7,3.2
2010,1,1,23:00,UTC,,1015.7,82,,19,-18.9,-21.2,,27,4.7,3.4
2010,1,2,00:00,UTC,,1015.8,81,,19,-19.2,-21.6,,31,4.4,3
