Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,999.2,99,0,0,0.2,0,1280,267,3.1,1.9
2017,1,1,01:00,UTC,2,998.9,99,0,0,-0.1,-0.2,1840,250,2.8,1.7
2017,1,1,02:00,UTC,3,998.3,99,0,0,-0.5,-0.6,5470,279,3,1.5
2017,1,1,03:00,UTC,0,998.4,99,0,0,-1.5,-1.6,4160,256,1.7,0.5
2017,1,1,04:00,UTC,3,998.2,99,0,0,-1.7,-1.8,8290,253,2.2,1.2
2017,1,1,05:00,UTC,1,997.9,99,0,0,-2.4,-2.5,14790,247,2.3,1.2
2017,1,1,06:00,UTC,0,997.8,98,0,0,-3.3,-3.5,9760,135,1.3,0.8
2017,1,1,07:00,UTC,2,997.5,98,0,0,-3.3,-3.5,15600,248,2,1.1
2017,1,1,08:00,UTC,7,997.8,98,0,0,-2.2,-2.5,18590,256,2,1.3
2017,1,1,09:00,UTC,2,997.9,97,0,0,-2.6,-2.9,14650,275,2.1,1.6
2017,1,1,10:00,UTC,0,997.8,97,0,0,-3,-3.4,15990,303,2.1,1.1
2017,1,1,11:00,UTC,2,997.9,98,0,0,-0.4,-0.7,44150,298,2.6,1.5
2017,1,1,12:00,UTC,0,997.7,99,0,0,-0.8,-1,27180,279,2.4,1.9
2017,1,1,13:00,UTC,2,998.3,97,0,0,-1,-1.3,28740,307,2.5,1.6
2017,1,1,14:00,UTC,7,998.4,98,0,0,-1.2,-1.5,22850,303,2.4,1.5
2017,1,1,15:00,UTC,7,998.8,99,0,0,-0.9,-1.1,16610,317,2.8,1.6
2017,1,1,16:00,UTC,8,999.4,95,0,0,0.5,-0.2,42340,1,4.9,2.8
2017,1,1,17:00,UTC,8,1000.1,94,0,0,0.2,-0.6,50000,5,5.4,3.5
2017,1,1,18:00,UTC,7,1000.5,88,0,0,-0.4,-2.1,50000,26,5.2,3
2017,1,1,19:00,UTC,3,1001.5,87,0,0,-1.3,-3.1,50000,9,4.6,3.1
2017,1,1,20:00,UTC,3,1002.1,89,0,0,-2.3,-3.8,50000,359,4.5,2.9
2017,1,1,21:00,UTC,5,1002.5,91,0,0,-3,-4.2,50000,342,2.8,1.6
2017,1,1,22:00,UTC,5,1002.9,91,0,0,-3.4,-4.7,50000,350,3.5,2.3
2017,1,1,23:00,UTC,0,1002.6,93,0,0,-4.3,-5.2,50000,10,2.3,1.3
2017,1,2,00:00,UTC,7,1002.5,92,0,0,-4,-5.1,50000,354,3.3,1.8
2017,1,2,01:00,UTC,7,1002.4,94,0,0,-4.9,-5.7,41220,40,1.3,0.9
2017,1,2,02:00,UTC,8,1002.7,94,0,0,-4.4,-5.2,41930,11,1.3,0.8
2017,1,2,03:00,UTC,7,1002.4,93,0,0,-4.2,-5.3,46830,0,0.7,0
2017,1,2,04:00,UTC,7,1002.3,94,0,0,-4.2,-5,40140,161,0.8,0.5
2017,1,2,05:00,UTC,7,1001.9,94,0,0,-4.1,-4.9,29370,0,0.8,0
2017,1,2,06:00,UTC,5,1001.6,95,0,0,-5.1,-5.9,20040,139,1.4,0.7
2017,1,2,07:00,UTC,7,1001.6,96,0,0,-4.8,-5.3,37010,212,2.1,1.4
2017,1,2,08:00,UTC,7,1001.8,95,0,0,-4.6,-5.4,36760,116,1.8,1
2017,1,2,09:00,UTC,8,1001.8,94,0,0,-3.8,-4.6,29110,105,1.6,1
2017,1,2,10:00,UTC,8,1001.7,93,0,0,-3.3,-4.2,32350,248,1.3,0.6
2017,1,2,11:00,UTC,7,1001.4,93,0,0,-3.1,-4.1,28700,153,2.5,1.5
2017,1,2,12:00,UTC,7,1001.7,96,0,0,-3.8,-4.4,17680,92,1.8,0.9
2017,1,2,13:00,UTC,8,1001.8,93,0,0,-3.1,-4,9300,186,1.5,1.1
2017,1,2,14:00,UTC,8,1001.8,93,0,0,-3.1,-4.1,5250,187,1.3,0.8
2017,1,2,15:00,UTC,7,1001.6,94,0,0,-3.3,-4.1,11200,61,1.4,0.7
2017,1,2,16:00,UTC,8,1002,93,0,0,-3,-3.9,12270,324,2,1.3
2017,1,2,17:00,UTC,8,1002.2,92,0,0,-3.1,-4.2,4000,315,3.2,1.8
2017,1,2,18:00,UTC,7,1002.5,92,0,0,-3.3,-4.4,11740,333,2.7,1.6
2017,1,2,19:00,UTC,8,1002.6,91,0,0,-3.3,-4.5,13440,336,2.4,1.4
2017,1,2,20:00,UTC,8,1002.8,92,0,0,-3.3,-4.4,10520,327,2.4,1.3
2017,1,2,21:00,UTC,7,1003,93,0,0,-3.9,-4.9,12640,347,1.8,1.1
2017,1,2,22:00,UTC,7,1003.2,94,0,0,-4.2,-5.1,12700,324,2,1.1
2017,1,2,23:00,UTC,7,1003.1,91,0,0,-4.5,-5.9,25420,29,3.5,2
2017,1,3,00:00,UTC,8,1003.1,90,0,0,-4.4,-5.8,49600,5,2.2,1.3
2017,1,3,01:00,UTC,6,1002.9,90,0,0,-5.2,-6.6,50000,117,1.5,0.6
2017,1,3,02:00,UTC,4,1002.6,93,0,0,-6.7,-7.7,31020,169,1.5,0.8
2017,1,3,03:00,UTC,7,1002.7,93,0,0,-6.4,-7.3,19610,0,1.1,0
2017,1,3,04:00,UTC,7,1002.6,94,0,0,-6,-6.8,23190,278,1.3,0.7
2017,1,3,05:00,UTC,8,1002.4,93,0,0,-5.4,-6.4,16390,150,1.2,0.5
2017,1,3,06:00,UTC,8,1002.1,93,0,0,-5,-6,16250,0,0.7,0
2017,1,3,07:00,UTC,8,1001.9,93,0,0,-4.6,-5.6,21270,159,1.8,1.2
2017,1,3,08:00,UTC,7,1001.6,94,0,0,-5,-5.8,20370,150,1.2,0.6
2017,1,3,09:00,UTC,8,1001.4,94,0,0,-4.5,-5.3,4460,121,2.7,1.6
2017,1,3,10:00,UTC,7,1001,93,0,0,-4.4,-5.3,3370,129,1.9,1.1
2017,1,3,11:00,UTC,6,1000.2,93,0,0,-4.8,-5.7,7500,141,1.9,1.2
2017,1,3,12:00,UTC,6,999.6,94,0,0,-4.8,-5.6,15240,138,2.8,1.9
2017,1,3,13:00,UTC,3,999,95,0,0,-5.2,-5.8,7670,139,2,1.3
2017,1,3,14:00,UTC,7,998.5,95,0,0,-5.8,-6.4,12110,103,3.1,2.2
2017,1,3,15:00,UTC,8,998.1,95,0,0,-5,-5.7,9630,114,3,1.8
2017,1,3,16:00,UTC,8,997.2,95,0,0,-4.9,-5.6,17330,111,4.9,2.6
2017,1,3,17:00,UTC,8,996.6,93,0,0,-5.2,-6.2,49560,106,6.2,3.9
2017,1,3,18:00,UTC,8,996,93,0,0,-5.7,-6.7,50000,114,5.4,3
2017,1,3,19:00,UTC,8,995.3,93,0,0,-6.4,-7.2,39970,88,6.1,4.3
2017,1,3,20:00,UTC,7,994.7,91,0,0,-6.2,-7.5,50000,94,5.7,3.5
2017,1,3,21:00,UTC,7,994.1,88,0,0,-6.7,-8.3,50000,90,7.4,4.2
2017,1,3,22:00,UTC,7,993.8,87,0,0,-7.6,-9.4,50000,77,6.6,4.4
2017,1,3,23:00,UTC,7,993.4,88,0,0,-7.4,-9.1,48470,76,8.1,4.8
2017,1,4,00:00,UTC,7,993.1,89,0,0,-6,-7.6,33450,76,6.5,4.3
2017,1,4,01:00,UTC,7,993.4,87,0,0,-5.8,-7.6,50000,75,9.4,5.8
2017,1,4,02:00,UTC,7,994.1,86,0,0,-5.3,-7.2,46300,69,7.9,5
2017,1,4,03:00,UTC,5,995.1,84,0,0,-5.8,-8.1,50000,75,9.2,5.3
2017,1,4,04:00,UTC,7,996.1,79,0,0,-6.7,-9.7,44300,66,12.2,7
2017,1,4,05:00,UTC,2,997.2,77,0,0,-7.9,-11.2,50000,66,10.3,6
2017,1,4,06:00,UTC,1,998.5,76,0,0,-9.3,-12.7,50000,56,12.1,6.2
2017,1,4,07:00,UTC,0,999.9,69,0,0,-10.2,-14.7,50000,60,9.9,6.1
2017,1,4,08:00,UTC,0,1001.3,72,0,0,-10.7,-14.7,50000,63,12.7,6.6
2017,1,4,09:00,UTC,0,1002.3,71,0,0,-10.5,-14.8,50000,61,11.1,6.2
2017,1,4,10:00,UTC,1,1003.6,70,0,0,-10.4,-14.7,45860,54,11.4,6
2017,1,4,11:00,UTC,0,1004.9,68,0,0,-10.9,-15.6,50000,51,12.1,5.4
2017,1,4,12:00,UTC,0,1005.9,61,0,0,-11.6,-17.6,50000,49,10,5.5
2017,1,4,13:00,UTC,1,1007.3,62,0,0,-12.5,-18.2,50000,29,10.6,5.1
2017,1,4,14:00,UTC,4,1008.7,68,0,0,-13.4,-18.1,50000,33,8.4,4.9
2017,1,4,15:00,UTC,0,1010.2,70,0,0,-14.5,-18.8,50000,34,9.1,4.7
2017,1,4,16:00,UTC,0,1011.9,70,0,0,-15.5,-19.7,50000,30,11.2,5.5
2017,1,4,17:00,UTC,0,1013.4,69,0,0,-16.1,-20.5,50000,25,10,4.9
2017,1,4,18:00,UTC,0,1014.5,69,0,0,-16.3,-20.8,50000,31,8.2,4.3
2017,1,4,19:00,UTC,0,1015.5,71,0,0,-16.2,-20.3,50000,21,7.7,4.5
2017,1,4,20:00,UTC,0,1016.7,73,0,0,-16.2,-19.9,50000,12,7.6,5.2
2017,1,4,21:00,UTC,0,1018.2,74,0,0,-16.5,-20,50000,6,8.2,4.6
2017,1,4,22:00,UTC,0,1019.3,76,0,0,-16.7,-19.9,50000,5,8.3,4.7
2017,1,4,23:00,UTC,0,1020.1,77,0,0,-16.8,-19.9,50000,7,9,4.8
2017,1,5,00:00,UTC,0,1021,77,0,0,-17.1,-20.2,50000,359,6.9,3.9
2017,1,5,01:00,UTC,0,1021.8,77,0,0,-17.4,-20.5,50000,360,5.8,3.5
2017,1,5,02:00,UTC,0,1022.8,77,0,0,-17.7,-20.8,50000,3,5.8,3.7
2017,1,5,03:00,UTC,0,1023.8,77,0,0,-18.2,-21.2,50000,353,6.8,3.8
2017,1,5,04:00,UTC,0,1024.7,77,0,0,-18.1,-21.2,50000,358,5.1,2.9
2017,1,5,05:00,UTC,0,1025.8,77,0,0,-18,-21.1,50000,357,5.2,3
2017,1,5,06:00,UTC,0,1026.3,76,0,0,-17.8,-21,50000,353,7.1,3.9
2017,1,5,07:00,UTC,0,1027.5,79,0,0,-17.5,-20.3,50000,348,4.3,2.8
2017,1,5,08:00,UTC,0,1028.5,78,0,0,-17.4,-20.3,48080,352,2.7,1.7
